I ,put,,,garabage,,,,
in ,thes ,cells,,,,,,
DD,FirstAngle,SecondAngle,Height,Distance,AvgScore,,,
1.7,38,42,8.87,12.3,3.67,,,NA
1.7,32,34,10.98,11.68,4.67,,,
1.7,34,1,11.55,11.05,5.17,,,
2.3,28,50,11.5,9.09,4.83,,,
2,14,16,13.1,8.8,5,,,
1.5,16,1,11.09,8.05,5.5,,,
1.6,6,8,10.8,11.95,4,,,
2.2,38,14,12.94,14.11,4.67,,,
2.3,40,32,12.17,9,4.17,,,
1.5,19,53,12.41,10.59,4.17,,,
1.5,2,10,12,5.85,6.33,,,
1.8,22,1,13.72,9.5,4.33,,,
2.2,41,39,11.26,8.32,4,,,
2.2,41,33,10.5,8.1,4.5,,,
1.5,32,75,8.45,12.85,3.17,,,
2.2,48,13,12.46,13.54,4,,,
1.5,19,15,13.48,8.55,4.5,,,
2,27,8,11.07,14.57,4,,,
2.1,23,42,12.27,10.55,5.67,,,
2.2,7,39,14.39,6.89,4.67,,,
1.7,25,45,12.55,12,3.83,,,
2.2,90,90,14,13.04,3.5,,,
1.5,0,0,13.48,7.45,5,,,
2,37,27,14.94,14.18,4.83,,,
1.8,29,17,15.11,9.79,5,,,
1.8,13,10,13.29,8.64,5,,,
1.6,3,19,6.43,12,4.67,,,
1.5,19,15,14.52,8.41,5,,,
1.6,21,6,9.94,6,4.17,,,
1.7,13,11,9.88,5.24,5,,,
1.7,6,28,9.65,10.72,4.5,,,
2.2,0,18,11.49,12.16,2,,,
1.9,26,24,11.47,13.27,3.33,,,
1.7,0,0,11.85,9.55,4.67,,,
1.6,13,21,11.44,9.43,3,,,
1.5,19,12,11.69,8.35,4.33,,,
1.6,45,5,12.39,7.2,4,,,
1.3,15,11,13.31,11.28,4.83,,,
1.7,30,15,10.37,14.21,4.33,,,
1.3,22,20,16.7,11.68,5.67,,,
1.6,25,0,14.15,10.92,5.5,,,
1.5,12,46,13.92,10.57,5.17,,,
1.6,1,9,14.8,9.09,5.83,,,
1.6,1,31,14.04,7.09,5.17,,,
1.5,4,7,9.73,1.96,6,,,
1.6,5,5,14.06,8.7,5.83,,,
2.2,22,51,12.7,7.83,4,,,
1.7,32,21,12.69,9.75,5.33,,,
1.5,0,0,14.64,5.7,6.83,,,
2.4,1,88,13.19,8.67,4,,,
1.6,18,6,14.22,10.78,6.17,,,
2.7,19,17,13.07,9.09,5.33,,,
1.7,3,0,15.8,8.76,7,,,
2.1,0,25,14.72,10.07,6.5,,,
1.7,19,20,13.27,8.13,7.17,,,
2.3,8,1,13.61,9.41,5.67,,,
2.4,3,44,14.07,7.36,6,,,
2.2,8,54,14.42,8.79,6,,,
1.7,47,31,13.41,10.1,6.17,,,
2.2,27,4,13.21,10.53,6,,,
1.6,20,23,12.02,8.57,6.17,,,
1.9,13,10,12.75,12.04,6,,,
1.7,2,26,13.04,9.98,5.83,,,
2.1,0,35,14.38,9.78,5.17,,,
1.8,10,5,12.02,4.72,6.17,,,
2.2,11,17,11.3,5.34,6,,,
1.7,22,1,11.96,8.17,6.5,,,
2.3,23,17,11.44,7.67,6.5,,,
1.5,0,0,11.32,12.04,5.67,,,
1.6,16,4,11.25,6.77,4.83,,,
1.6,25,33,13.02,8.56,5.17,,,
2,16,61,11.5,10.25,4.33,,,
1.7,15,4,11.52,9.44,5,,,
1.6,9,8,12.72,10.7,5,,,
1.6,0,2,11.92,8.81,4.67,,,
1.3,21,17,14.12,6.86,4.67,,,
1.6,4,8,12.67,7.38,5.67,,,
2.2,19,10,11.76,9.66,3,,,
2.1,47,77,10.14,7.3,3.83,,,
2.2,3,0,15.85,13.4,3.48,,,
1.7,19,18,10.91,13.85,4.5,,,
1.9,19,15,13.19,14.23,4.33,,,
